time,shoulder link,upper arm link,forearm link,wrist1 link,wrist2 link,wrist3 link,total_reward
47.0,-0.6131509389407338,-0.11830779115184567,-0.6719259195176771,-0.5592086725398832,-0.3872039531651444,0.6702086705667114,962.3148215008274
48.0,-0.6279467591370591,-0.11691295082791364,-0.6869963769866145,-0.5653747107217179,-0.3982959161180252,0.6777987320632944,962.3148215008274
49.0,-0.6428324006657908,-0.11545369817573992,-0.7019820670445158,-0.5712733233559534,-0.40893144154865413,0.6848736029214121,962.3148215008274
50.0,-0.6577895393084601,-0.1140632321350092,-0.7169419293979323,-0.5766445962342149,-0.4195147126842391,0.6913413668214007,962.3148215008274
51.0,-0.6728890177066411,-0.11274610348962266,-0.731803501917275,-0.5814073105698326,-0.4299278100584647,0.6972684527111791,962.3148215008274
52.0,-0.6881715383682622,-0.11134387205920784,-0.7466208770965551,-0.5855244001131751,-0.440205170541837,0.7026233053170969,962.3148215008274
53.0,-0.7036661988675011,-0.1098590155074476,-0.761181139570589,-0.5891037319768978,-0.4501134751930756,0.7073772398675392,962.3148215008274
54.0,-0.7192315473947722,-0.1083112778663613,-0.7754511538119445,-0.5923080007121376,-0.4599830885750883,0.7115287614964373,962.3148215008274
55.0,-0.7346572702752298,-0.10669727583850178,-0.7894282291010486,-0.5949621438067383,-0.46965110514736297,0.7152016174398823,962.3148215008274
56.0,-0.7497551227989867,-0.10491666505409877,-0.8030539566666005,-0.5969744103343707,-0.4790474815413642,0.7182422723484424,962.3148215008274
57.0,-0.7644646957461475,-0.1031844095101493,-0.8161714943327606,-0.5983432789527332,-0.4880464114792746,0.7207718601135605,962.3148215008274
58.0,-0.7787540253970073,-0.10160043273950037,-0.8288815411206775,-0.5990194700104713,-0.49676001830198363,0.7226561238836585,962.3148215008274
59.0,-0.7926156835704675,-0.1000196543310222,-0.8413190793608252,-0.5989773770485717,-0.5050436741971288,0.7238388526222439,962.3148215008274
60.0,-0.806175859429681,-0.09836133012732558,-0.8535072855229988,-0.5982352701623628,-0.5128681015713665,0.7245214384589442,962.3148215008274
61.0,-0.8195011573801202,-0.096778720562454,-0.8655526033143931,-0.5968938227165373,-0.5201441612620433,0.7247036388566421,962.3148215008274
62.0,-0.832688822852536,-0.0953255374202557,-0.8774997774162423,-0.5950480589395192,-0.5268918195621694,0.7242466451370727,962.3148215008274
63.0,-0.8457761032303643,-0.09391097855240702,-0.8893831601709434,-0.5926673464941604,-0.5331115840082377,0.723308890872655,962.3148215008274
64.0,-0.8587569385830558,-0.09250586702281928,-0.901150672747321,-0.5898061202154796,-0.5389965066184221,0.7218604768392737,962.3148215008274
65.0,-0.8715477204104848,-0.09114034714182792,-0.9126303002270396,-0.5863142859147353,-0.544704672070039,0.7197680992635919,962.3148215008274
66.0,-0.8839912204117435,-0.0897510723105699,-0.9236822539933426,-0.5822216213430048,-0.5502426839092253,0.7170202166282045,962.3148215008274
67.0,-0.8960094639650256,-0.08819716152952199,-0.9342024619982054,-0.5776108730513881,-0.5555124368716022,0.7136069000540608,962.3148215008274
68.0,-0.907610151137252,-0.08655706520202432,-0.9442208341277373,-0.5726024555280039,-0.5604228141419602,0.7096538281140756,962.3148215008274
69.0,-0.9187756287703016,-0.08501346449205312,-0.953884454672014,-0.567238296403541,-0.5647502906581869,0.7051416281526245,962.3148215008274
70.0,-0.9294594505573529,-0.08359392816052877,-0.9633978796068989,-0.5615751898024276,-0.5684777469611194,0.700109104877836,962.3148215008274
71.0,-0.9395951337054128,-0.0822106974675908,-0.9728100812262347,-0.5557590483304992,-0.5716261227953282,0.6945122218841266,962.3148215008274
72.0,-0.9492809727199374,-0.08079213827637184,-0.982064251002528,-0.5498613268812413,-0.5744331846611518,0.6882487321355819,962.3148215008274
73.0,-0.9586983315140941,-0.07933258454762519,-0.9911353894537931,-0.5438210187868976,-0.5768436962549212,0.6814724931680861,962.3148215008274
74.0,-0.9678981800224608,-0.07782701849988774,-0.9998824328818949,-0.5375513219481711,-0.5790445583478379,0.6740786079725983,962.3148215008274
75.0,-0.9768716007925219,-0.07629449926386093,-1.008344740126721,-0.5311643801814199,-0.5811911511879584,0.6660241189818912,962.3148215008274
76.0,-0.9856817761704992,-0.0748939574190797,-1.0163914587269733,-0.5244571379548038,-0.5828907457564091,0.6572780489846841,962.3148215008274
77.0,-0.9942546716197348,-0.07350941487618445,-1.0239900227047503,-0.5176270251049254,-0.584308226020723,0.6479416266279174,962.3148215008274
78.0,-1.002623032512553,-0.07225048163907159,-1.0312585714684779,-0.510633134168269,-0.5856261773674829,0.638025613213066,962.3148215008274
79.0,-1.0106832785293915,-0.07110359835872111,-1.0382315496708125,-0.5033509681489552,-0.5866531348519544,0.6274870880824301,962.3148215008274
80.0,-1.0183052344759433,-0.0699508879597665,-1.0449230121576303,-0.49571651745028456,-0.5872039270950045,0.6164097150225812,962.3148215008274
81.0,-1.0254669030987258,-0.06876828191277665,-1.0512731512314553,-0.48773170779139274,-0.5873521288549527,0.6048297040694025,962.3148215008274
82.0,-1.0322652585536363,-0.06763734038504658,-1.0572469024415863,-0.4793710089045001,-0.5870645875010573,0.592609800559905,962.3148215008274
83.0,-1.0388417441791151,-0.06660842275042268,-1.062924514612486,-0.47081930147595563,-0.5863089739640366,0.5798918795924275,962.3148215008274
84.0,-1.0452654172640787,-0.06555494185781023,-1.068334504748241,-0.46213751575228873,-0.5854781302523232,0.5666192157717541,962.3148215008274
85.0,-1.0515204236525222,-0.06441700063445144,-1.07337081996574,-0.45320060520136024,-0.5846067607351975,0.5527870980109453,962.3148215008274
86.0,-1.0574853486004008,-0.06328458396236661,-1.0780979111149065,-0.4442110886664313,-0.583620189532922,0.538602276320787,962.3148215008274
87.0,-1.0630457976671324,-0.06215840389677383,-1.0826072220258514,-0.4352402467309538,-0.5821484303905752,0.5241982019761349,962.3148215008274
88.0,-1.0681842969556024,-0.0611749958546625,-1.0868359636578453,-0.42647881401051974,-0.5800611613941585,0.5097022703938549,962.3148215008274
89.0,-1.0728908141072775,-0.060329739019448436,-1.0906527711354204,-0.41806622322532444,-0.5775020677053925,0.49526222983715623,962.3148215008274
90.0,-1.0773450051229734,-0.05958766929106986,-1.094115414756667,-0.4101445032346056,-0.5745614142681251,0.4806776930481243,962.3148215008274
91.0,-1.0815890276829891,-0.05891062712224029,-1.0972348138474532,-0.40242357095399733,-0.5717831034114702,0.4660465113603577,962.3148215008274
92.0,-1.0856720277798153,-0.05818400966419561,-1.1000588206309252,-0.3951852887440133,-0.5690166193791394,0.45145386996329356,962.3148215008274
93.0,-1.0896124863283976,-0.057565615925032794,-1.1024673537936711,-0.3884232307525217,-0.5663325066316014,0.43669669984365034,962.3148215008274
94.0,-1.0933452784139195,-0.05699446955595342,-1.1045752703097138,-0.38220327677230403,-0.5637498836852113,0.4218170177109798,962.3148215008274
95.0,-1.096857962427049,-0.056471295102475255,-1.1064200583863488,-0.37627998327299894,-0.56125415460022,0.40696360704599827,962.3148215008274
96.0,-1.100109687481545,-0.05610892180715333,-1.107954784421963,-0.3705083045502219,-0.5589280862513816,0.392122363872794,962.3148215008274
97.0,-1.1030600362958418,-0.05574618389448963,-1.109186270494746,-0.36502115300586824,-0.556341950690598,0.3775208883197658,962.3148215008274
98.0,-1.1055865942045633,-0.055523995685603296,-1.1101407285086842,-0.35996843935881245,-0.5538209450028485,0.36316304385551285,962.3148215008274
